"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"County","Sherburne",,"MN","Minneapolis-St Paul, MN","Minneapolis-St. Paul-Bloomington, MN-WI",,6.61816065192084,91.3,7.7269,,240500,0.208333333333333,7.9443447037702,0.0639043659043659,,0.0532105703694846,0.0213483146067416,62
"County","Snohomish",,"WA","Seattle, WA","Seattle-Tacoma-Bellevue, WA",,8.05587892898719,97.69,3.6557,2.4133,461300,0.30441400304414,10.9160855974994,0.0802102753089096,,0.054358671150364,0.013256288239293,41
"County","Strafford",,"NH","Boston, MA","Boston-Cambridge-Newton, MA-NH",,8.11990686845169,88,,,243600,0.661157024793388,10.2761430511544,0.133255336617406,,0.0539133787430921,0.034564958283671,61
"County","Talladega",,"AL","Talladega, AL","Talladega-Sylacauga, AL",,1.16996507566938,,,,99800,-0.893743793445879,11.5083798882682,0.00253507014028065,,0.156282631395754,0.0367483296213808,93
"County","Tillamook",,"OR",,,,3.0151338766007,100,8.3636,,287100,0.34952813701503,6.88756515264333,0.0113270637408569,,0.0740318906605923,0.0384615384615385,78.5
"County","Trousdale",,"TN","Nashville, TN","Nashville-Davidson--Murfreesboro--Franklin, TN",,6.22235157159488,100,,4.3665,134900,0,13.9358108108108,0.0829355077835434,,0.140277777777778,0.0297029702970297,56
"County","Van Buren",,"AR",,,,3.22467986030268,75,,2.3383,89800,0.335195530726257,20.6989247311828,-0.0867817371937639,,0.157836644591611,0.00699300699300699,
"County","Van Buren",,"IA",,,,0.646100116414435,,,,88600,-0.561167227833894,22.2068965517241,-0.0329232505643341,,0.146835443037975,0.0344827586206897,
"County","Van Buren",,"MI","Kalamazoo, MI","Kalamazoo-Portage, MI",,7.23515715948778,86.21,,,126900,0.874403815580286,7.72495755517827,0.085705279747833,,0.139607032057911,0.0139917695473251,72.5
"County","Van Zandt",,"TX",,,,7.69499417927823,100,,,120300,1.34793597304128,-1.47420147420147,0.0808478802992518,,,,63
"County","Vermilion",,"IL","Danville, IL","Danville, IL",,0.826542491268917,84.21,,,56100,0.35778175313059,-0.707964601769911,-0.00536541889483066,,0.191656980498515,0.0478436657681941,115.5
"County","Vermilion",,"LA","Lafayette, LA","Lafayette, LA",,1.47264260768335,,,,72900,-0.409836065573771,6.26822157434402,-0.00467764060356657,,0.261799217731421,0.0209163346613546,89
"County","Wabaunsee",,"KS","Topeka, KS","Topeka, KS",,5.05238649592549,,,,118300,0.254237288135593,0.680851063829787,0.0261115807269654,,0.11482254697286,0,62
"County","Washtenaw",,"MI","Ann Arbor, MI","Ann Arbor, MI",,8.65541327124564,90,,,279700,0.539180445722502,10.4660347551343,0.0770682874508402,,0.0509514909523405,0.015839933305544,53
